url,date,Red SM,Blue SM,Red Team,Blue Team,Starting Team,Winning Team,First team won,Assassin,Team 1 words,Team 2 words,Assassin word,Neutral words,Turns->,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7258,3/18/2016,wrathy,Kelvandil,"Juri, hill giant, Faceless","Hyphen-ated, JSexton, Jack",Blue,Red,0,,"ENCHANTMENT, SPIRIT, MIRRODIN, CHANDRA, AGGRO, EQUIPMENT, OATH, FLASH, SHADOW","DESTROY, CREATURE, WURM, JUND, TRAMPLE, ALPHA, APOCALYPSE, TOKEN",VISIONS,"DRAGON, SOLDIER, CARD, DEMON, TEFERI, TRIBAL, VAMPIRE","TALLOWISP, 2 (ENCHANTMENT, SPIRIT)","TERROR, 3 (DESTROY, CREATURE, MIRRODIN)","BURN, 2 (CHANDRA, AGGRO)","CHARNELHOARD, 3 (WURM, JUND, TRAMPLE, ALPHA)","MASTERWORK, 2 (EQUIPMENT, OATH)","BOBCAT, 2 (APOCALYPSE, TOKEN)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7271,3/29/2016,fhk,JSexton,"Juri, hill giant, Hyphen-ated","Jack, Kelvandil, wrathy",Red,Red,0,,"LORWYN, VINTAGE, LAND, GOBLIN, BOLT, BLACK, MISHRA, GRUUL, SIMIC","MOUNTAIN, NICOL BOLAS, FLASH, GARRUK, NAYA, MANA, TRIBAL, SCOURGE",MORPH,"MOX, TIME, ELSPETH, ANGEL, KARN, RATH, LOTUS","WORKSHOP, 3 -> MISHRA, LAND, VINTAGE","PANORAMA, 3 -> NAYA, MOUNTAIN, MANA","FACEVAULTER, 3 -> GOBLIN, LORWYN, BLACK","BLADEWING, 3 -> SCOURGE, NICOL BOLAS, TRIBAL","CROSSBOWYERS', 3 -> BOLT, RATH","GUILD, 1 (SIMIC)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7276,4/5/2016,hill giant,Hyphen-ated,"wrathy, fhk, viashino","Juri, Kelvandil, Jack, Faceless",Blue,Red,1,,"AZORIUS, ORZHOV, MULLIGAN, JESKAI, EXILE, KICKER, CROVAX, MELOKU, TEMUR","SHADOW, KAMIGAWA, JACE, LICID, CUBE, SQUIRREL, SIMIC, ATOG",ILLUSION,"BOROS, BLACK, HOMARID, INFECT, RATH, RABIAH, RAT","WHITE, 5 (AZORIUS, ORZHOV, BOROS)","DEVOURIN', 3 (SHADOW, KAMIGAWA, BLACK)","CHOICE, 2 (MULLIGAN, JESKAI, EXILE)","SCULPTING, 2 (JACE, LICID","MOONFOLK, 1 (CUBE)","OPPOSITION, 2 (SQUIRREL, SIMIC, ATOG)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7295,4/28/2016,JSexton,Mindwarped,"wrathy, hill giant, viashino, Mike","Kelvandil, Juri, Hyphen-ated, fhk, Iteration",Red,Red,1,,"SAPROLING, ZOMBIE, FAERIE, LIBRARY, COUNTER, TAP, MIRRI, MASTICORE, VIGILANCE","CYCLING, ELF, WIZARD, UNICORN",,"TOKEN, DWARF","DEATHSPORE, 3 (SAPROLING, ZOMBIE, TOKEN)","GEMPALM, 3 (CYCLING, ELF, WIZARD)","KNACKSAW, 3 (FAERIE, LIBRARY, COUNTER, TAP)","FOLKLORE, 3 (UNICORN DWARF)","TENTH, 2 (MIRRI, MASTICORE)","CRACKLING, 3 (MARDU, OUPHE, SPELL, BURY)","IRON-HEART, 1 (VIGILANCE)",,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7570,3/6/2017,Khaos,Hyphen-ated,"Juri, Tristal, wrathy, Iteration, Mindwarped","Kelvandil, Rylinks, JSexton, QED, Jack",Red,Red,1,,"KITHKIN, JACE,RED, DOMRI RADE, BARBARIAN, RAT, SULTAI, ZUBERA, CROVAX","CHANDRA, GOLEM, CONSTRUCT, STRONGHOLD, ELDRAZI, HAND, SPELL, KNIGHT",SWAMP,"SNAKE, COUNTER, TEFERI, SHADOW, ELEPHANT, COLORLESS, WURM","FELLOWSHIP, 4 (KITHKIN, JACE, CHANDRA","METAL, 3 (GOLEM, CONSTRUCT, SNAKE)","CARMINE, 4 (RED, DOMRI RADE, BARBARIAN, RAT)","EXPANSIONS, 2 (STRONGHOLD, ELDRAZI)","POLYCHROMATIC, 2 (SULTAI, ZUBERA, CROVAX)",,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7604,5/6/2017,sea,fhk,"JSexton, Kelvandil, Jack, TheTravelling1","Hyphen-ated, Juri, Mindwarped, wrathy",Red,Blue,0,,"SNOWMAN, NUT, SPRING, SERVER, MEXICO, EGYPT, SOLDIER, TUBE, ROBIN,","TURKEY, LION, CRASH, VAN, TELESCOPE, PUPIL, NET, GHOST",CHEST,"MARCH, PENGUIN, LAP, BUG, MOUNT, OLIVE, SUIT","MELT, 4 (SNOWMAN, TURKEY)","PEUGEOT, 3 (LION, CRASH, VAN)","BRAZIL, 3 (NUT, SPRING, MARCH)","LENS, 2 (TELESCOPE, PUPIL)","BO, UNLIMITED (SERVER, PENGUIN)","ONULETS, 2 (NET, GHOST)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7608,5/13/2017,Hyphen-ated,Kelvandil,"drk, wrathy, Rylinks, Jack, Glocks For Interns","Monty, JSexton, sea, fhk, Juri",Blue,Red,0,,"PLATE, BRUSH, BERLIN, BOOM, DEATH, NOVEL, KIWI, CROSS, RING","BOND, SCHOOL, SCIENTIST, SPIDER, PLATYPUS, BOARD, ORANGE, DATE",LOCK,"TEACHER, PRINCESS, LION, AFRICA, DAY, GREEN, CLIFF","DISHES, 2 (PLATE, BRUSH)","FUNDING, 4 (BOND,  SCHOOL, SCIENTIST, TEACHER)","DRESDEN, 4 (BERLIN, BOOM, DEATH, NOVEL)","WEBBED, 2 (SPIDER, PLAYPUS, BOARD)","HATCH, 2 (KIWI, CROSS)","FRUIT, 2 (ORANGE, DATE)",,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7613,5/18/2017,Rylinks,Hyphen-ated,"wrathy, Kelvandil, fhk","viashino, SableTip, drk",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7614,5/19/2017,Glocks For Interns,sea,"Rooser, Mindwarped, Jack","JSexton, rider, Juri",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7619,5/26/2017,Jack,wrathy,"Rylinks, Kelvandil, fhk","Glocks For Interns, Rooser, Mindwarped",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7620,5/28/2017,viashino,JSexton,"Hyphen-ated, SableTip, drk","rider, Juri, sea",Red,Blue,0,1,"TEMPLE, TABLE, WITCH, STRING, BARK, RABBIT, TIME, BOOK, MUG","PIE, LEPRECHAUN, BAR, STRIKE, SUB, COMPOUND, CARD, JUPITER",NUT,"INDIA, SCORPION, BOW, SPACE, FLY, CHICK, PIPE","ALTAR, 3 (TEMPLE, TABLE, WITCH)","BOSTON, 3 (PIE, LEPRECHAUN, BAR)","LEASH, 3 (STRING, BARK, RABBIT)","NUCLEAR, 4 (STRIKE, SUB, COMPOUND_","UNWINDING, 3 (NUT)",,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7628,6/3/2017,drk,Rooser,"viashino, Hyphen-ated, SableTip","Glocks For Interns, Mindwarped, wrathy",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7629,6/4/2017,rider,Kelvandil,"sea, JSexton, Juri","fhk, wrathy, Rylinks",Red,Blue,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7634,6/9/2017,Juri,SableTip,"rider, sea, JSexton","drk, Hyphen-ated, viashino",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7633,6/9/2017,fhk,Mindwarped,"Kelvandil, wrathy, Rylinks","Jack, Glocks For Interns, Rooser",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7661,7/6/2017,Jack,SableTip,"Monty, Kelvandil","viashino, ein",Blue,Blue,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7659,7/6/2017,sea,JSexton,"Juri, Rooser","drk, wrathy",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7662,7/7/2017,Skeletor,fhk,sackofwethammers,"Grant, Hyphen-ated",Red,Red,1,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7664,7/8/2017,NJ,Glocks For Interns,nemryn,"Mindwarped, Checkbox",Blue,Red,0,,,,,,,,,,,,,,,
https://forums.goodgamery.com/viewtopic.php?f=21&t=7667,7/14/2017,Juri,sackofwethammers,"Rooser, sea",Skeletor,Red,Red,1,,"LAB, SCIENTIST, BOOK, FORK, HAM, CONCERT, PASTE, DINOSAUR, BOARD)","FRANCE, SKYSCRAPER, PENGUIN, WEB, MAIL, LUCK, CHARGE, NUT, JACK",MARBLE,"MOUTH, GREECE, ARM, MOUSE, TOOTH, TAP","RESEARCH, 3 (LAB, SCIENTIST, BOOK)","EIFFEL, 3 (FRANCE, SKYSCRAPER, FORK)","RADIO, 2 (HAM, CONCERT)","LINUX, 3 (PENGUIN, WEB, MAIL","STICKER, 3 (PASTE, DINOSAUR, BOARD)",,,,,
